DW_CLIENTE;customerKey;customer;address_number;business_family;business_unit;customer_type;division;line_of_business;phone;region_code;regional_sales_Mgr;search_type
6f191ef3d58baff76349c79caf39558f8bfefbf799fd8441f0869b2d9dfcd083;10018623;K&M Supermarket;10018623;R1;1;G2;2;Não Informado;816-455-8733;2;S5;C
9c67c357e02429912a76f62a16d11ce2d27211990e69abfcf29e26872a022825;10012422;Finishing Shop;10012422;R3;1;G2;2;Não Informado;816-455-8733;2;S16;C
8d953b712e5ab64af5c00441c18a6ecfc91dcd668f3d993f70413339d3b504a6;10025032;Talkland Shop;10025032;R3;1;G1;1;M1;816-455-8733;0;S19;C
8f5158fe8f94630d4fd8a5cadb9388d00e88a2c19f364813eeb90da414f72662;10022730;RC Shop;10022730;R2;1;G2;2;Não Informado;816-455-8733;4;S9;C
1c99b6b5f6d9c0b9098dd9043cd09949da4943e0779b8454334ea1f840b70d18;10020184;Matradi Megastore;10020184;O2;1;G2;2;Não Informado;816-455-8733;2;S12;C
57a3fe96d41590197620cda955d347850ec7ea5c2c853a6db05a0482bda5e54e;10000499;ABSolute Shop;10000499;R3;1;G2;1;Não Informado;816-455-8733;5;S16;C
29b2256562de6c5df5fb37deca23cf833ab7694c3031cf49e9415a3159c23167;10023778;Satronix Shop;10023778;R3;1;G2;2;Não Informado;816-455-8733;1;S16;C
399030ad2c7200d74e49302225a43fd2e4f9846c83ff17a38e988ff9e9ba63cc;10017576;Illuminati Shop;10017576;R3;1;G2;2;Não Informado;816-455-8733;2;S16;C
fe1ef6c29ec26d6be198ee2219131290d0eb95fface25c907c6953c90defd21d;10021996;Pinnacle Supermarket;10021996;R3;1;G2;2;M1;816-455-8733;3;S16;C
f5a0701537fdf9e16cbdb4fab2218859efadc867a66c520a81688a7201a6397f;10014238;Harbor Store;10014238;R3;1;G1;1;M1;816-455-8733;5;S19;C
1a9dcaf5ee1e583362cdba1ca337540fe8c033e1a0d8a5a44b89b06c6b6e4eef;10002149;AccuLAN Shop;10002149;R3;1;G2;1;Não Informado;816-455-8733;5;S16;I
a99ebe5635a718511a5d6079e81875005f134ee93d92349dcf338bdcef92ce87;10025248;Telus Store;10025248;R3;1;G2;2;Não Informado;816-455-8733;1;S16;C
89a4d5b02fea68075dc1377843c8851fe19e57591546fda52a32e2d79a0e7f2b;10000460;Meals Market;10000460;R3;1;G2;2;Não Informado;816-455-8733;2;S16;C
b2a5f90e2e4033bacdd1911b89d42664aaac521f1b688718a112e12ebed52ed4;10021494;Paraclipse Shop;10021494;R3;1;G2;1;Não Informado;816-455-8733;5;S1;C
f1ecef935c71b9d1de85ce627e52ee81a489814194317ffb70bb9408b04eec3f;10012328;Finder Shop;10012328;R1;1;G2;1;Não Informado;816-455-8733;5;S5;C
1adab890b7e41ce4816078f6b00b931bd2a2e3ff2cef263efb085b61e9283edb;10018146;J.M. Supermarket;10018146;R3;1;G3;1;Não Informado;816-455-8733;0;S8;C
f84188fa67987053e0473c443dd3c38049b15987f4ddfe9eededfac1cb32b61d;10009669;De Store;10009669;R3;1;G2;1;Não Informado;816-455-8733;5;S14;C
bb98e78d823d8d0dd9560fca90217b48997f0fd5cdfa2dbb854908279db78450;10022434;R&R Store;10022434;R3;1;G2;2;Não Informado;816-455-8733;1;S4;C
b3f8cad6edc50693d80a652b2daba410d8d38b3250ef7eaf8dcd7e9a9f53fbeb;10021412;Panngea Shop;10021412;R4;1;G2;2;Não Informado;816-455-8733;1;S18;C
b3d390002516cfe933b748298fa49aed23f61aa234b2e58fae8d1300c534d5ed;10014469;Harte-Hanks Market;10014469;O2;1;G2;2;Não Informado;816-455-8733;4;S12;C
8beab8705471c21914c5e27098044c7e9d649383a74163e998fc7f869c5e364d;10006037;Bigelow Store;10006037;R3;1;G1;2;Não Informado;816-455-8733;2;S16;C
ca4a6395abcaff1424359a06ae6ac4e7f246bbc77cb83fcb1d1873504674cbb5;10013572;GearSource Shop;10013572;R3;1;G2;1;Não Informado;816-455-8733;5;S1;C
5cb6ccf09c5797ab02894663e05c92f7b4afa805d221cb0636e26d14a3fcf928;10023793;Savetz Store;10023793;R2;1;G2;2;Não Informado;816-455-8733;2;S2;C
5a357462e1dc624ff7d847a0d9f94f5ab12beeb256bfcaf777ba0dcf680be371;10014804;HCS Shop;10014804;R3;1;G2;2;Não Informado;816-455-8733;2;S16;C
588ef657deaf30023b1c355cc463c1751faefd698a5ef7ba41caa4d6e87cbd7d;10011724;Federal Supermarket;10011724;O2;1;G3;1;Não Informado;816-455-8733;0;S1;C
1af0f0c38a168ae69f70a4eab8f06c42bad240110c60711d6349620726d57bb0;10010923;Edmark Shop;10010923;O2;1;G1;1;Não Informado;816-455-8733;5;S1;C
c666771d8b98e5b079ffa38c3aaa63680777a6d00447fcfe3dce4e7a6fbdccb5;10012761;G.R. Supermarket;10012761;R3;1;G1;1;M1;816-455-8733;5;S16;C
962a392db244572a8252596aa4142f77f5037b251257a1261a0636f27c97b9ca;10024930;T3West Shop;10024930;R3;1;G3;1;Não Informado;816-455-8733;5;S8;C
af3d03e7f5cac00d4f78366896481fae2cbf28cf4088df779e3d551a11913806;10009645;Day Market;10009645;O2;1;G2;1;Não Informado;816-455-8733;5;S12;C
860bed13ee401e1f46c0ddb1fbe6e5b1dd2c05ff0ec1aeff8609f9e9c181ff57;10010969;Edorex Supermarket;10010969;R3;1;G2;2;Não Informado;816-455-8733;4;S16;C
76d132fbba54ba38619ff886a7d9dcf140568c3717229d36c55376febc6f2dec;10013899;Grumman Market;10013899;R3;1;G2;1;Não Informado;816-455-8733;5;S1;C
91a63cd59abd6d2f46681c728af1bf25d086657ac71dee3376161fedae6f9af7;10025758;UTStarGate Shop;10025758;R3;1;G2;2;Não Informado;816-455-8733;2;S16;C
e131a4c69b9713c5fab8846f6b80512a25533381dd4286ec33620a25e8b5474a;10010906;ediSys Shop;10010906;R3;1;G2;2;Não Informado;816-455-8733;3;S1;C
658fcd96b45ea2359d6ff9b9ac56d42e2b4f960bbf4e89dcb7f68a1efb192719;10022962;Reflex Store;10022962;R3;1;G1;1;M1;816-455-8733;5;S19;C
557bc9f1b3c59d056f0ee196375c94e65bef897cd8ac0b573e5a04662b4b5323;10021936;Pink Supermarket;10021936;R3;1;G2;2;Não Informado;816-455-8733;2;S16;C
b14f88f737fde4be51d8dbb260134a986b240dd4de12534f974af653b2c58e70;10005043;Bezeq Shop;10005043;R3;1;G1;1;M1;816-455-8733;5;S18;C
aef4bada87d425fe1efd0f84071c11cf690b8c19bcbc9616b661135ab8a6e151;10025037;Tampere Shop;10025037;R2;1;G2;2;Não Informado;816-455-8733;1;S4;C
98afe124a36497a6aada3aaab4c0d26c7e553076b0ea68c0e44bb40d3f7f470d;10019410;Keystone Store;10019410;R1;1;G3;1;Não Informado;816-455-8733;0;S2;C
955b531e36c4261a47b63f3154c8e41e712b069eb7a15f74adb65b1c4e0e8038;10019879;Litton Shop;10019879;R3;1;G2;2;Não Informado;816-455-8733;2;S1;C
2dfc8c50634eb8079d17a032927c76433dfd1c78cd60aa599204dfa6c6f2b3ae;10005810;Big Shop;10005810;R3;1;G1;1;M1;816-455-8733;5;S19;C
8a053560d2ca3c99c1da79b3202832b6a693db8b35bfe92091eb3ab1ca127653;10015783;Hershey Supermarket;10015783;R3;1;G2;2;Não Informado;816-455-8733;3;S1;I
1febd62ba5123ae0ac584caa6f838eac7febd3e9455ce8bac987779a8df2c820;10021750;Paul Store;10021750;R3;1;G2;1;Não Informado;816-455-8733;5;S16;I
f63eaa80ae180a75d94544c24b963f5331f7c1286f098e556044c7d5abcf704e;10021411;Panix Shop;10021411;R3;1;G2;1;Não Informado;816-455-8733;5;S4;C
6238f7a59ec3585e7a6f7d4890df7a155b636de0d273629206a5dfe434a88dc1;10025267;Todd Supermarket;10025267;R3;1;G3;1;Não Informado;816-455-8733;5;S5;C
102761cb4bb32b744768122c02e1a82d603bdc559b64bb73cf2f20e3d3b66834;10011821;FenP Supermarket;10011821;R3;1;G2;1;Não Informado;816-455-8733;5;S5;C
343d9f4ead3e49ae9c220a616509aec2bd3aa1e01f86b1e31c1565b58fbfc111;10009672;DEAC Shop;10009672;R3;1;G2;2;Não Informado;816-455-8733;1;S16;C
2508d81acfed1d7c63e73e31fb0db8e57c5d2886c09e62b8e2560895405aa6ad;10017553;iLanguage Shop;10017553;R2;1;G2;2;Não Informado;816-455-8733;4;S5;C
936200516042410db3be3d0889b20e73d284ec97575705039a132abd1263d4c2;10017036;Icon Superstore;10017036;R1;1;G2;2;Não Informado;816-455-8733;4;S11;C
1eca103d7f6a60c3fa642088a30acc8b053762f47809a82814df19d26fa17a3a;10025737;Userland Maxistore;10025737;R3;1;G2;1;Não Informado;816-455-8733;5;S16;C
a58ae69038246b3b71bfbd32ef11bf3c1557045d8a6d6fea4da57945043443e6;10024016;Screen Supermarket;10024016;R3;1;G1;1;M1;816-455-8733;5;S19;C
15c995b542612eb2201cae3d8768b28c0596fc40810b96cb9d2f05e611d59782;10000461;A1 Store;10000461;R1;1;G3;1;Não Informado;816-455-8733;0;S2;C
03e6c7b22f086520bb9a6f42a2a0381d27625120a0b6f27157fc5690bf68b04b;10002150;Accumedic Store;10002150;R3;1;G2;1;Não Informado;816-455-8733;5;S16;C
bac4b7cfafc9f26975de1c871f84c7ed76cd7a028748f376408982833cbbbfe0;10025778;Valicert Midstore;10025778;R3;1;G2;2;Não Informado;816-455-8733;1;S16;C
1964d612b2995acc1e09ae9517a3df7b37cdf8c1eb40aee97d360a41a5c82172;10025040;Tangent Shop;10025040;R3;1;G2;2;Não Informado;816-455-8733;2;S1;C
00968fe10c17ff6d39bf8ae1e5fa9ce2fe1334e810100382497abfcdecb60616;10000475;AA-Wizard Shop;10000475;R3;1;G2;2;Não Informado;816-455-8733;2;S16;C
bebea8c0d6df57ab11337b915328607895d1b85cd8d64570929d2f3046d89343;10023757;SAS Supermarket;10023757;R3;1;G1;1;Não Informado;816-455-8733;5;S19;C
e8a332a16bbcaa2440d30599a7d3140e590a45653cb07d5f918304c131624e30;10019900;LiveWire Supermarket;10019900;R3;1;G2;2;Não Informado;816-455-8733;1;S16;C
159a68b64be33ae10b9f07ef67625781097bcd9678ee72f28c0457aa561752fc;10027053;YourFuture Shop;10027053;R3;1;G2;2;Não Informado;816-455-8733;4;S9;C
5bb4162c5bf5ba1150b7d81709ba179bffd2fb5343a5adef875cc1b8a1902081;10014471;Harts Superstore;10014471;R1;1;G3;1;Não Informado;816-455-8733;0;S2;C
4fdb92ad823e381808d220c2041baba6611e1a4067327d9eb471e06b84af347d;10021986;Pinnacle Supermarket;10021986;R2;1;G2;2;Não Informado;816-455-8733;4;S5;C
4700bbe7d689efc4db4c425750009e30aacffe0e5d12f975796148e0c1ac1c9d;10022750;Ready-to-Run Shop;10022750;R3;1;G2;2;M1;816-455-8733;4;S16;C
b02bbab8f6f41ea3f023ad58b6f13377c2b112143e32eaef290fc18080340473;10017852;J.A. Supermarket;10017852;R3;1;G1;1;M1;816-455-8733;5;S19;C
c31384481afccec7e8c6f2ab80410f39f92beb08a377cc2e5bd3cc9fabed25bc;10012851;Gailey Market;10012851;R3;1;G2;1;Não Informado;816-455-8733;5;S1;C
ec30d46c2707b2e6c33c7dd5fca416cf10074daa85cda1476a99a443ba5e74fc;10011398;Ethyl Store;10011398;R3;1;G2;2;Não Informado;816-455-8733;1;S16;C
39ad63f693ecf5eb221abd589f4c671476475e2658d929fe2d3dab7914fd877b;10006093;BigJobs Shop;10006093;R3;1;G2;2;Não Informado;816-455-8733;4;S9;C
4bfc45fb001645e08ac03db87e764ec364c6611abd869183992d34732205aded;10008381;CAPCON Shop;10008381;R3;1;G2;2;Não Informado;816-455-8733;1;S1;C
20cf322fb058a6b2b0f7c64a3dcf10e4b9e2fdb6b090947a908b3febb425818e;10020390;Miles Supermarket;10020390;R3;1;G2;2;Não Informado;816-455-8733;4;S1;C
