DW_ENDERECO;address_number;city;country;customer_address_1;customer_address_2;customer_address_3;customer_address_4;state;zip_code
cd6ff2c03b906482f3ae73f4837f6ae5dd1f818ff49ab5a7649bb7e1f0ab402f;10021286;"";"";"";"";"";"";"";""
ca1bbcd5874e2d9303fac27865bf44bc769692f4509bd011b7ec30247eb87b08;10002489;Villa Rica;US;PO Box 266;Não Informado;Não Informado;Não Informado;GA;30180-0266
970e75a5ea4d1e0da2b9e617124e1f8518cd6ac3add0e9d683f7726f2cc77df3;10019420;Ruwi;IR;PO Box 880 PC-112;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado
3853339e4810724fad102c6852900bffed472d93b19b4e7c2a8ee951d586941f;10011499;"";"";"";"";"";"";"";""
20c32ed24602a0cfa131f75aa6f2257d5e1d3dcc2bdc66c1c7943cccffca951b;10025791;Prineville;US;PO Box 667;Não Informado;Não Informado;Não Informado;OR;97754
fc0f770d047a531349ac0b2c1f1907e68ab26b6bc16620797f45cf09c78284e3;10027340;Salem;US;63 Bridge Street;Não Informado;Não Informado;Não Informado;MA;1970
96dac229dfe2ffdc26c64294d018d21ad000490f74d5774ccfdbe682d15523a6;10025392;"";"";"";"";"";"";"";""
6e1316c67a1d80eb276d8daef97f2dddc98009816ad32ecc84ce6335706123b0;10021179;El Cajon;US;316 Millar Avenue;Não Informado;Não Informado;Não Informado;CA;92020
232d06a0ef737ab0e6da00cb09a8693288e86fb00bb7667484dbbdbd487f6446;10020449;Santiago;UK;Attention: Rodrigo Yrarrazaval;Jose M Infante 2320 Nunoa;Não Informado;Não Informado;Não Informado;Não Informado
9921823aae26fc783c9f9e6d541cd5896a58f76ca96ef0c1b00eb2abaa39fd50;10027381;Tumwater;US;2649 R W Johnson Boulevard;Não Informado;Não Informado;Não Informado;WA;98512
76adf7ca813688c7827c9a9d9aedd036f64074fd47ee2d4e69582a129c428836;10025284;Hayward;US;19745 Meekland Avenue;Não Informado;Não Informado;Não Informado;CA;94541
ec17e85d26fb5e55d1b4588b987333eeb4faa273ae4db90860e4c07115ee08e6;10024006;Columbiana;US;PO Box 57;Não Informado;Não Informado;Não Informado;OH;44408
9b82e25489c20d532067b2a133c6a41f6a9e8e800a2dd285c81bc7318d0e5719;10009907;Elizabethtown;US;PO Box 2143;Não Informado;Não Informado;Não Informado;KY;42702-2143
a26fefcd0e4c286b8ca9c2312a7536b9cadc28ca3bfa14ecab67bc5013bdad2c;10007355;Amarillo;US;3601 Amarillo Boulevard East;Não Informado;Não Informado;Não Informado;TX;79107
8c59e34a4270b330a8b5c68de0abaf486e674066350bd77a81475bd1982a055b;10024524;New Hampton;US;PO Box 511;Não Informado;Não Informado;Não Informado;IA;50659
767801c11f79978a27cbab0de588d05352e4d4e665778b14d64217c8cae161b3;10012851;"";"";"";"";"";"";"";""
f8cf7063c2a15a77c2161f9f17c58d4afbf6e6c8b49ad1bfb9977260db9cff79;10019812;"";"";"";"";"";"";"";""
df93006a5905a02537f1d4364bb274503f281582ad83c61677f3c44e3b5e7698;10025021;Depere;US;1151 W Main;Não Informado;Não Informado;Não Informado;WI;54115
e2898828c59671d258136deb37f30c60bdca29e7b48cb0bff00a93fb342cc3e3;10007123;Little Rock;US;PO Box 194255;Não Informado;Não Informado;Não Informado;AR;72219
32b4c959db9c229733e8b54eff0769e9384754e41e970c077ef3dc025182afa0;10018363;Panama Rep De Panama;IR;EDIF N 4141;Apdo Postal 642 Zona 9-A;Não Informado;Não Informado;Não Informado;Não Informado
f1c692ba5f9c95fc9e88abf54b7694efa85fab067c7f428fa1df20aea8f86920;10025034;Corona;US;395 Smitty Way;Não Informado;Não Informado;Não Informado;CA;91720
